
0ms | 0ms | Starting betterer
0ms | 0ms | Starting betterer
0ms | 0ms | Starting betterer
0ms | 0ms | Starting eslint
313ms | 313ms | Inside eslint's test function
0ms | 0ms | Starting betterer
0ms | 0ms | Starting betterer
0ms | 0ms | Starting eslint
1ms | 1ms | Starting betterer
37ms | 37ms | Inside eslint's test function
0ms | 0ms | Starting betterer
0ms | 0ms | Starting betterer
0ms | 0ms | Starting eslint
0ms | 0ms | Starting betterer
35ms | 35ms | Inside eslint's test function
0ms | 0ms | Starting betterer
0ms | 0ms | Starting betterer
0ms | 0ms | Starting eslint
0ms | 0ms | Starting betterer
34ms | 34ms | Inside eslint's test function
0ms | 0ms | Starting betterer
0ms | 0ms | Starting betterer
0ms | 0ms | Starting betterer
0ms | 0ms | Starting eslint
36ms | 36ms | Inside eslint's test function
0ms | 0ms | Starting betterer
0ms | 0ms | Starting betterer
0ms | 0ms | Starting eslint
0ms | 0ms | Starting betterer
34ms | 34ms | Inside eslint's test function
0ms | 0ms | Starting betterer
0ms | 0ms | Starting betterer
0ms | 0ms | Starting betterer
0ms | 0ms | Starting eslint
271ms | 271ms | Inside eslint's test function
0ms | 0ms | Starting betterer
0ms | 0ms | Starting betterer
0ms | 0ms | Starting eslint
0ms | 0ms | Starting betterer
263ms | 263ms | Inside eslint's test function
0ms | 0ms | Starting betterer
0ms | 0ms | Starting betterer
0ms | 0ms | Starting betterer
0ms | 0ms | Starting eslint
278ms | 278ms | Inside eslint's test function
0ms | 0ms | Starting betterer
0ms | 0ms | Starting betterer
0ms | 0ms | Starting eslint
0ms | 0ms | Starting betterer
270ms | 270ms | Inside eslint's test function
0ms | 0ms | Starting betterer
0ms | 0ms | Starting betterer
0ms | 0ms | Starting eslint
0ms | 0ms | Starting betterer
36ms | 36ms | Inside eslint's test function
0ms | 0ms | Starting betterer
0ms | 0ms | Starting betterer
0ms | 0ms | Starting betterer
0ms | 0ms | Starting eslint
37ms | 37ms | Inside eslint's test function
0ms | 0ms | Starting betterer
0ms | 0ms | Starting betterer
0ms | 0ms | Starting eslint
0ms | 0ms | Starting betterer
38ms | 38ms | Inside eslint's test function
0ms | 0ms | Starting betterer
0ms | 0ms | Starting betterer
1ms | 1ms | Starting eslint
0ms | 0ms | Starting betterer
37ms | 36ms | Inside eslint's test function
0ms | 0ms | Starting betterer
0ms | 0ms | Starting betterer
0ms | 0ms | Starting eslint
0ms | 0ms | Starting betterer
50ms | 50ms | Inside eslint's test function
0ms | 0ms | Starting betterer
0ms | 0ms | Starting betterer
0ms | 0ms | Starting eslint
0ms | 0ms | Starting betterer
35ms | 35ms | Inside eslint's test function
0ms | 0ms | Starting betterer
0ms | 0ms | Starting betterer
0ms | 0ms | Starting betterer
1ms | 1ms | Starting eslint
35ms | 34ms | Inside eslint's test function
0ms | 0ms | Starting betterer
0ms | 0ms | Starting betterer
1ms | 1ms | Starting eslint
0ms | 0ms | Starting betterer
35ms | 34ms | Inside eslint's test function
0ms | 0ms | Starting betterer
0ms | 0ms | Starting betterer
0ms | 0ms | Starting eslint
0ms | 0ms | Starting betterer
38ms | 38ms | Inside eslint's test function
0ms | 0ms | Starting betterer
0ms | 0ms | Starting betterer
0ms | 0ms | Starting betterer
0ms | 0ms | Starting eslint
35ms | 35ms | Inside eslint's test function
0ms | 0ms | Starting betterer
0ms | 0ms | Starting betterer
0ms | 0ms | Starting eslint
0ms | 0ms | Starting betterer
37ms | 37ms | Inside eslint's test function
0ms | 0ms | Starting betterer
0ms | 0ms | Starting betterer
0ms | 0ms | Starting betterer
1ms | 1ms | Starting eslint
38ms | 37ms | Inside eslint's test function
0ms | 0ms | Starting betterer
0ms | 0ms | Starting betterer
0ms | 0ms | Starting betterer
0ms | 0ms | Starting eslint
40ms | 40ms | Inside eslint's test function
1ms | 1ms | Starting betterer
0ms | 0ms | Starting betterer
0ms | 0ms | Starting eslint
0ms | 0ms | Starting betterer
36ms | 36ms | Inside eslint's test function
0ms | 0ms | Starting betterer
