"PR #","Repository","Title","Status","Days Open","Days Since Update","Stale (>30d)","# Reviews","# Comments","Reviewers Engaged","Reviewers Requested","Lines Changed","Created","Last Updated","Link"
"1221","grafana/writers-toolkit","Add data sources writing guidelines","Draft","287","258","STALE","7","20","chri2547 / github-advanced-security / jdbaldry / lwandz13","irenerl24","334","2025-09-09","2025-10-08","https://github.com/grafana/writers-toolkit/pull/1221"
"4121","grafana/plugins-private","Docs: Updated Wavefront data source docs","Awaiting review","55","0","","4","4","kevinwcyu / lwandz13","irenerl24 / k-munoz","1405","2026-04-28","2026-06-23","https://github.com/grafana/plugins-private/pull/4121"
"269","grafana/dynamodb-datasource","Docs: DynamoDB docs overhaul","Awaiting review","55","12","","0","0","","zoesyc / irenerl24 / Data Sources Plugins","2510","2026-04-28","2026-06-11","https://github.com/grafana/dynamodb-datasource/pull/269"
"829","grafana/redshift-datasource","Docs: Major update to Redshift data source docs","Awaiting review","46","0","","4","3","irenerl24 / kevinwcyu / lwandz13","zoesyc","2953","2026-05-07","2026-06-23","https://github.com/grafana/redshift-datasource/pull/829"
"124628","grafana/grafana","Docs: MySQL quarterly docs update","Awaiting review","42","12","","5","3","github-actions","irenerl24 / k-munoz / Data Sources Plugins","184","2026-05-11","2026-06-11","https://github.com/grafana/grafana/pull/124628"
"124941","grafana/grafana","Docs: Azure Monitor FY27 Q2 update","Awaiting review","39","9","","0","1","","irenerl24 / k-munoz / Data Sources Plugins","667","2026-05-14","2026-06-14","https://github.com/grafana/grafana/pull/124941"
"496","grafana/google-bigquery-datasource","Docs: BigQuery quarterly update","Changes requested","35","0","","4","1","lwandz13 / zoltanbedi","irenerl24 / k-munoz","317","2026-05-18","2026-06-23","https://github.com/grafana/google-bigquery-datasource/pull/496"
"125234","grafana/grafana","Docs: MSSQL quarterly update","Awaiting review","33","0","","6","1","github-actions","aangelisc / zoesyc / irenerl24 / Data Sources Plugins","1275","2026-05-20","2026-06-22","https://github.com/grafana/grafana/pull/125234"
"4182","grafana/plugins-private","Docs: Oracle docs quarterly update","Awaiting review","31","31","STALE","0","0","","irenerl24 / k-munoz / Data Sources Plugins","3375","2026-05-22","2026-05-22","https://github.com/grafana/plugins-private/pull/4182"
"4203","grafana/plugins-private","Docs: Splunk quarterly updates","Awaiting review","21","21","","0","0","","irenerl24 / k-munoz / Data Sources Plugins","2187","2026-06-01","2026-06-01","https://github.com/grafana/plugins-private/pull/4203"
"4204","grafana/plugins-private","Docs: Quarterly update for MongoDB","Awaiting review","20","20","","0","0","","irenerl24 / k-munoz / Data Sources Plugins","1574","2026-06-02","2026-06-02","https://github.com/grafana/plugins-private/pull/4204"
"563","grafana/grafana-cloudwatch-datasource","Docs: Add CloudWatch troubleshooting guide","Awaiting review","19","19","","0","2","","Data Sources Plugins","491","2026-06-03","2026-06-03","https://github.com/grafana/grafana-cloudwatch-datasource/pull/563"
"4212","grafana/plugins-private","Docs: Quarterly update for Datadog","Awaiting review","19","19","","0","0","","irenerl24 / k-munoz / Data Sources Plugins","1328","2026-06-03","2026-06-03","https://github.com/grafana/plugins-private/pull/4212"
"716","grafana/plugins","Docs: Update to Atlassian Statuspage docs","No review status","17","17","","0","0","","irenerl24 / k-munoz / yesoreyeram / jcolladokuri / Data Sources Plugins","206","2026-06-05","2026-06-05","https://github.com/grafana/plugins/pull/716"
"719","grafana/plugins","Docs: Catchpoint docs updates","No review status","14","14","","0","0","","irenerl24 / k-munoz / yesoreyeram / jcolladokuri / Data Sources Plugins","2178","2026-06-08","2026-06-08","https://github.com/grafana/plugins/pull/719"
"752","grafana/grafana-amazonprometheus-datasource","Docs: Updated Amazon Managed Prometheus docs","Awaiting review","13","13","","0","0","","zoesyc / irenerl24 / Data Sources Plugins","2654","2026-06-09","2026-06-09","https://github.com/grafana/grafana-amazonprometheus-datasource/pull/752"
"4236","grafana/plugins-private","Docs: Quarterly update for Databricks","Awaiting review","10","10","","0","1","","ktw4071 / irenerl24 / k-munoz / Data Sources Plugins","1870","2026-06-12","2026-06-12","https://github.com/grafana/plugins-private/pull/4236"
"735","grafana/plugins","Docs: SolarWinds updates","No review status","0","0","","0","0","","irenerl24 / k-munoz / yesoreyeram / jcolladokuri / Data Sources Plugins","2195","2026-06-22","2026-06-22","https://github.com/grafana/plugins/pull/735"
"1428","grafana/writers-toolkit","Dictionary: Add Kerberos to dictionary","Awaiting review","0","0","","0","0","","jdbaldry / clayton-cornell / docs-tooling","4","2026-06-22","2026-06-22","https://github.com/grafana/writers-toolkit/pull/1428"
