Year,Origin,Make,Model,Miles_per_Gallon,Cylinders,Displacement,Horsepower,Weight_in_lbs,Acceleration
1970-01-01T00:00:00,USA,chevrolet,chevelle malibu,18,8,307,130,3504,12
1970-01-01T00:00:00,USA,buick,skylark 320,15,8,350,165,3693,11.5
1970-01-01T00:00:00,USA,plymouth,satellite,18,8,318,150,3436,11
1970-01-01T00:00:00,USA,amc,rebel sst,16,8,304,150,3433,12
1970-01-01T00:00:00,USA,ford,torino,17,8,302,140,3449,10.5
1970-01-01T00:00:00,USA,ford,galaxie 500,15,8,429,198,4341,10
1970-01-01T00:00:00,USA,chevrolet,impala,14,8,454,220,4354,9
1970-01-01T00:00:00,USA,plymouth,fury iii,14,8,440,215,4312,8.5
1970-01-01T00:00:00,USA,pontiac,catalina,14,8,455,225,4425,10
1970-01-01T00:00:00,USA,amc,ambassador dpl,15,8,390,190,3850,8.5
1970-01-01T00:00:00,Europe,citroen,ds-21 pallas,,4,133,115,3090,17.5
1970-01-01T00:00:00,USA,chevrolet,chevelle concours (sw),,8,350,165,4142,11.5
1970-01-01T00:00:00,USA,ford,torino (sw),,8,351,153,4034,11
1970-01-01T00:00:00,USA,plymouth,satellite (sw),,8,383,175,4166,10.5
1970-01-01T00:00:00,USA,amc,rebel sst (sw),,8,360,175,3850,11
1970-01-01T00:00:00,USA,dodge,challenger se,15,8,383,170,3563,10
1970-01-01T00:00:00,USA,plymouth,'cuda 340,14,8,340,160,3609,8
1970-01-01T00:00:00,USA,ford,mustang boss 302,,8,302,140,3353,8
1970-01-01T00:00:00,USA,chevrolet,monte carlo,15,8,400,150,3761,9.5
1970-01-01T00:00:00,USA,buick,estate wagon (sw),14,8,455,225,3086,10
1970-01-01T00:00:00,Japan,toyota,corona mark ii,24,4,113,95,2372,15
1970-01-01T00:00:00,USA,plymouth,duster,22,6,198,95,2833,15.5
1970-01-01T00:00:00,USA,amc,hornet,18,6,199,97,2774,15.5
1970-01-01T00:00:00,USA,ford,maverick,21,6,200,85,2587,16
1970-01-01T00:00:00,Japan,datsun,pl510,27,4,97,88,2130,14.5
1970-01-01T00:00:00,Europe,volkswagen,1131 deluxe sedan,26,4,97,46,1835,20.5
1970-01-01T00:00:00,Europe,peugeot,504,25,4,110,87,2672,17.5
1970-01-01T00:00:00,Europe,audi,100 ls,24,4,107,90,2430,14.5
1970-01-01T00:00:00,Europe,saab,99e,25,4,104,95,2375,17.5
1970-01-01T00:00:00,Europe,bmw,2002,26,4,121,113,2234,12.5
1970-01-01T00:00:00,USA,amc,gremlin,21,6,199,90,2648,15
1970-01-01T00:00:00,USA,ford,f250,10,8,360,215,4615,14
1970-01-01T00:00:00,USA,chevrolet,c20,10,8,307,200,4376,15
1970-01-01T00:00:00,USA,dodge,d200,11,8,318,210,4382,13.5
1970-01-01T00:00:00,USA,hi,1200d,9,8,304,193,4732,18.5
1971-01-01T00:00:00,Japan,datsun,pl510,27,4,97,88,2130,14.5
1971-01-01T00:00:00,USA,chevrolet,vega 2300,28,4,140,90,2264,15.5
1971-01-01T00:00:00,Japan,toyota,corona,25,4,113,95,2228,14
1971-01-01T00:00:00,USA,ford,pinto,25,4,98,,2046,19
1971-01-01T00:00:00,Europe,volkswagen,super beetle 117,,4,97,48,1978,20
1971-01-01T00:00:00,USA,amc,gremlin,19,6,232,100,2634,13
1971-01-01T00:00:00,USA,plymouth,satellite custom,16,6,225,105,3439,15.5
1971-01-01T00:00:00,USA,chevrolet,chevelle malibu,17,6,250,100,3329,15.5
1971-01-01T00:00:00,USA,ford,torino 500,19,6,250,88,3302,15.5
1971-01-01T00:00:00,USA,amc,matador,18,6,232,100,3288,15.5
1971-01-01T00:00:00,USA,chevrolet,impala,14,8,350,165,4209,12
1971-01-01T00:00:00,USA,pontiac,catalina brougham,14,8,400,175,4464,11.5
1971-01-01T00:00:00,USA,ford,galaxie 500,14,8,351,153,4154,13.5
1971-01-01T00:00:00,USA,plymouth,fury iii,14,8,318,150,4096,13
1971-01-01T00:00:00,USA,dodge,monaco (sw),12,8,383,180,4955,11.5
1971-01-01T00:00:00,USA,ford,country squire (sw),13,8,400,170,4746,12
1971-01-01T00:00:00,USA,pontiac,safari (sw),13,8,400,175,5140,12
1971-01-01T00:00:00,USA,amc,hornet sportabout (sw),18,6,258,110,2962,13.5
1971-01-01T00:00:00,USA,chevrolet,vega (sw),22,4,140,72,2408,19
1971-01-01T00:00:00,USA,pontiac,firebird,19,6,250,100,3282,15
1971-01-01T00:00:00,USA,ford,mustang,18,6,250,88,3139,14.5
1971-01-01T00:00:00,USA,mercury,capri 2000,23,4,122,86,2220,14
1971-01-01T00:00:00,Europe,opel,1900,28,4,116,90,2123,14
1971-01-01T00:00:00,Europe,peugeot,304,30,4,79,70,2074,19.5
1971-01-01T00:00:00,Europe,fiat,124b,30,4,88,76,2065,14.5
1971-01-01T00:00:00,Japan,toyota,corolla 1200,31,4,71,65,1773,19
1971-01-01T00:00:00,Japan,datsun,1200,35,4,72,69,1613,18
1971-01-01T00:00:00,Europe,volkswagen,model 111,27,4,97,60,1834,19
1971-01-01T00:00:00,USA,plymouth,cricket,26,4,91,70,1955,20.5
1972-01-01T00:00:00,Japan,toyota,corona hardtop,24,4,113,95,2278,15.5
1972-01-01T00:00:00,USA,dodge,colt hardtop,25,4,97.5,80,2126,17
1972-01-01T00:00:00,Europe,volkswagen,type 3,23,4,97,54,2254,23.5
1972-01-01T00:00:00,USA,chevrolet,vega,20,4,140,90,2408,19.5
1972-01-01T00:00:00,USA,ford,pinto runabout,21,4,122,86,2226,16.5
1972-01-01T00:00:00,USA,chevrolet,impala,13,8,350,165,4274,12
1972-01-01T00:00:00,USA,pontiac,catalina,14,8,400,175,4385,12
1972-01-01T00:00:00,USA,plymouth,fury iii,15,8,318,150,4135,13.5
1972-01-01T00:00:00,USA,ford,galaxie 500,14,8,351,153,4129,13
1972-01-01T00:00:00,USA,amc,ambassador sst,17,8,304,150,3672,11.5
1972-01-01T00:00:00,USA,mercury,marquis,11,8,429,208,4633,11
1972-01-01T00:00:00,USA,buick,lesabre custom,13,8,350,155,4502,13.5
1972-01-01T00:00:00,USA,oldsmobile,delta 88 royale,12,8,350,160,4456,13.5
1972-01-01T00:00:00,USA,chrysler,newport royal,13,8,400,190,4422,12.5
1972-01-01T00:00:00,Japan,mazda,rx2 coupe,19,3,70,97,2330,13.5
1972-01-01T00:00:00,USA,amc,matador (sw),15,8,304,150,3892,12.5
1972-01-01T00:00:00,USA,chevrolet,chevelle concours (sw),13,8,307,130,4098,14
1972-01-01T00:00:00,USA,ford,gran torino (sw),13,8,302,140,4294,16
1972-01-01T00:00:00,USA,plymouth,satellite custom (sw),14,8,318,150,4077,14
1972-01-01T00:00:00,Europe,volvo,145e (sw),18,4,121,112,2933,14.5
1972-01-01T00:00:00,Europe,volkswagen,411 (sw),22,4,121,76,2511,18
1972-01-01T00:00:00,Europe,peugeot,504 (sw),21,4,120,87,2979,19.5
1972-01-01T00:00:00,Europe,renault,12 (sw),26,4,96,69,2189,18
1972-01-01T00:00:00,USA,ford,pinto (sw),22,4,122,86,2395,16
1972-01-01T00:00:00,Japan,datsun,510 (sw),28,4,97,92,2288,17
1972-01-01T00:00:00,Japan,toyota,corona mark ii (sw),23,4,120,97,2506,14.5
1972-01-01T00:00:00,USA,dodge,colt (sw),28,4,98,80,2164,15
1972-01-01T00:00:00,Japan,toyota,corolla 1600 (sw),27,4,97,88,2100,16.5
1973-01-01T00:00:00,USA,buick,century 350,13,8,350,175,4100,13
1973-01-01T00:00:00,USA,amc,matador,14,8,304,150,3672,11.5
1973-01-01T00:00:00,USA,chevrolet,malibu,13,8,350,145,3988,13
1973-01-01T00:00:00,USA,ford,gran torino,14,8,302,137,4042,14.5
1973-01-01T00:00:00,USA,dodge,coronet custom,15,8,318,150,3777,12.5
1973-01-01T00:00:00,USA,mercury,marquis brougham,12,8,429,198,4952,11.5
1973-01-01T00:00:00,USA,chevrolet,caprice classic,13,8,400,150,4464,12
1973-01-01T00:00:00,USA,ford,ltd,13,8,351,158,4363,13
1973-01-01T00:00:00,USA,plymouth,fury gran sedan,14,8,318,150,4237,14.5
1973-01-01T00:00:00,USA,chrysler,new yorker brougham,13,8,440,215,4735,11
1973-01-01T00:00:00,USA,buick,electra 225 custom,12,8,455,225,4951,11
1973-01-01T00:00:00,USA,amc,ambassador brougham,13,8,360,175,3821,11
1973-01-01T00:00:00,USA,plymouth,valiant,18,6,225,105,3121,16.5
1973-01-01T00:00:00,USA,chevrolet,nova custom,16,6,250,100,3278,18
1973-01-01T00:00:00,USA,amc,hornet,18,6,232,100,2945,16
1973-01-01T00:00:00,USA,ford,maverick,18,6,250,88,3021,16.5
1973-01-01T00:00:00,USA,plymouth,duster,23,6,198,95,2904,16
1973-01-01T00:00:00,Europe,volkswagen,super beetle,26,4,97,46,1950,21
1973-01-01T00:00:00,USA,chevrolet,impala,11,8,400,150,4997,14
1973-01-01T00:00:00,USA,ford,country,12,8,400,167,4906,12.5
1973-01-01T00:00:00,USA,plymouth,custom suburb,13,8,360,170,4654,13
1973-01-01T00:00:00,USA,oldsmobile,vista cruiser,12,8,350,180,4499,12.5
1973-01-01T00:00:00,USA,amc,gremlin,18,6,232,100,2789,15
1973-01-01T00:00:00,Japan,toyota,carina,20,4,97,88,2279,19
1973-01-01T00:00:00,USA,chevrolet,vega,21,4,140,72,2401,19.5
1973-01-01T00:00:00,Japan,datsun,610,22,4,108,94,2379,16.5
1973-01-01T00:00:00,Japan,mazda,rx3,18,3,70,90,2124,13.5
1973-01-01T00:00:00,USA,ford,pinto,19,4,122,85,2310,18.5
1973-01-01T00:00:00,USA,mercury,capri v6,21,6,155,107,2472,14
1973-01-01T00:00:00,Europe,fiat,124 sport coupe,26,4,98,90,2265,15.5
1973-01-01T00:00:00,USA,chevrolet,monte carlo s,15,8,350,145,4082,13
1973-01-01T00:00:00,USA,pontiac,grand prix,16,8,400,230,4278,9.5
1973-01-01T00:00:00,Europe,fiat,128,29,4,68,49,1867,19.5
1973-01-01T00:00:00,Europe,opel,manta,24,4,116,75,2158,15.5
1973-01-01T00:00:00,Europe,audi,100ls,20,4,114,91,2582,14
1973-01-01T00:00:00,Europe,volvo,144ea,19,4,121,112,2868,15.5
1973-01-01T00:00:00,USA,dodge,dart custom,15,8,318,150,3399,11
1973-01-01T00:00:00,Europe,saab,99le,24,4,121,110,2660,14
1973-01-01T00:00:00,Japan,toyota,mark ii,20,6,156,122,2807,13.5
1973-01-01T00:00:00,USA,oldsmobile,omega,11,8,350,180,3664,11
1974-01-01T00:00:00,USA,plymouth,duster,20,6,198,95,3102,16.5
1974-01-01T00:00:00,USA,ford,maverick,21,6,200,,2875,17
1974-01-01T00:00:00,USA,amc,hornet,19,6,232,100,2901,16
1974-01-01T00:00:00,USA,chevrolet,nova,15,6,250,100,3336,17
1974-01-01T00:00:00,Japan,datsun,b210,31,4,79,67,1950,19
1974-01-01T00:00:00,USA,ford,pinto,26,4,122,80,2451,16.5
1974-01-01T00:00:00,Japan,toyota,corolla 1200,32,4,71,65,1836,21
1974-01-01T00:00:00,USA,chevrolet,vega,25,4,140,75,2542,17
1974-01-01T00:00:00,USA,chevrolet,chevelle malibu classic,16,6,250,100,3781,17
1974-01-01T00:00:00,USA,amc,matador,16,6,258,110,3632,18
1974-01-01T00:00:00,USA,plymouth,satellite sebring,18,6,225,105,3613,16.5
1974-01-01T00:00:00,USA,ford,gran torino,16,8,302,140,4141,14
1974-01-01T00:00:00,USA,buick,century luxus (sw),13,8,350,150,4699,14.5
1974-01-01T00:00:00,USA,dodge,coronet custom (sw),14,8,318,150,4457,13.5
1974-01-01T00:00:00,USA,ford,gran torino (sw),14,8,302,140,4638,16
1974-01-01T00:00:00,USA,amc,matador (sw),14,8,304,150,4257,15.5
1974-01-01T00:00:00,Europe,audi,fox,29,4,98,83,2219,16.5
