time,open,high,low,close,base_asset_volume,number_of_trades,quote_asset_volume
2021-06-22T00:00:00.000Z,0.17873,0.18243,0.17199,0.17293,75990777.1,51379,27603124.846177
2021-06-22T00:15:00.000Z,0.17298,0.17491,0.16559,0.17088,108633584,65154,37096169.435852
2021-06-22T00:30:00.000Z,0.17086,0.17587,0.16958,0.17325,58951216.4,35613,19102733.196978
2021-06-22T00:45:00.000Z,0.17339,0.179,0.17328,0.17817,50252685.6,28101,16641493.677783
2021-06-22T01:00:00.000Z,0.17814,0.19353,0.17806,0.19311,89915939.7,57703,31585028.079924
2021-06-22T01:15:00.000Z,0.19312,0.19442,0.1856,0.18743,103151067.5,42178,37161542.400126
2021-06-22T01:30:00.000Z,0.18743,0.19281,0.18588,0.19092,39464175.6,22312,15763667.336426
2021-06-22T01:45:00.000Z,0.19092,0.206,0.19087,0.2028,105535922.2,54432,38835098.178344
2021-06-22T02:00:00.000Z,0.2028,0.20433,0.19575,0.19825,50032733.7,33547,20945134.982634
2021-06-22T02:15:00.000Z,0.19825,0.19849,0.19336,0.19496,26273448.4,19489,11411913.43304
2021-06-22T02:30:00.000Z,0.19495,0.20071,0.19481,0.1965,31165265,20390,12417651.423644
2021-06-22T02:45:00.000Z,0.1965,0.20886,0.19602,0.20698,51986569.4,29423,18355196.211427
2021-06-22T03:00:00.000Z,0.207,0.20795,0.20288,0.20565,37198056.2,20299,14302711.51944
2021-06-22T03:15:00.000Z,0.20568,0.21328,0.20332,0.21231,51623348.9,28798,19902413.207414
2021-06-22T03:30:00.000Z,0.21246,0.2174,0.20959,0.21344,70021444.2,39251,28059886.126252
2021-06-22T03:45:00.000Z,0.21344,0.21397,0.20768,0.20897,37425813.5,22720,16786522.632224
2021-06-22T04:00:00.000Z,0.20886,0.21033,0.20518,0.20648,37084963.9,23109,14526643.213836
2021-06-22T04:15:00.000Z,0.20653,0.2073,0.2025,0.20361,25665585.3,16011,11741613.002694
2021-06-22T04:30:00.000Z,0.20355,0.20683,0.20168,0.20242,24329800.4,13394,9036242.876936
2021-06-22T04:45:00.000Z,0.20239,0.2045,0.20053,0.20358,23432142.1,13272,8801524.610494
2021-06-22T05:00:00.000Z,0.20365,0.20643,0.2011,0.20164,18745143.9,12661,7863276.231655
2021-06-22T05:15:00.000Z,0.20169,0.20345,0.19611,0.19703,30124488.9,16965,13942217.828688
2021-06-22T05:30:00.000Z,0.19703,0.19832,0.19391,0.19575,31770738.8,20887,13269698.244264
2021-06-22T05:45:00.000Z,0.19571,0.19816,0.19494,0.19739,16509636.1,10311,6203517.296015
2021-06-22T06:00:00.000Z,0.1974,0.20083,0.197,0.19859,26545513.8,12628,8856678.310933
2021-06-22T06:15:00.000Z,0.1986,0.2065,0.19854,0.20414,36943859.2,19385,13801850.250338
2021-06-22T06:30:00.000Z,0.20413,0.20533,0.20037,0.2008,14098815.6,9054,5701482.427744
2021-06-22T06:45:00.000Z,0.20086,0.20501,0.1977,0.2046,24871271.4,12413,9335374.105539
2021-06-22T07:00:00.000Z,0.2046,0.206,0.20044,0.20181,19090853.7,11855,7678213.129146
2021-06-22T07:15:00.000Z,0.20181,0.20432,0.19963,0.20417,18135028.5,10402,7337578.87728
2021-06-22T07:30:00.000Z,0.20417,0.20716,0.20248,0.20683,19691305.5,13003,7492184.754536
2021-06-22T07:45:00.000Z,0.20693,0.207,0.20251,0.20391,12644614.6,9420,5823258.250861
2021-06-22T08:00:00.000Z,0.20398,0.20507,0.19284,0.19401,61403849.5,32163,27615401.908902
2021-06-22T08:15:00.000Z,0.19402,0.19469,0.18822,0.18982,73490243.6,42569,35823733.149659
2021-06-22T08:30:00.000Z,0.18969,0.19185,0.18582,0.1879,55821299.7,33428,24479753.845225
2021-06-22T08:45:00.000Z,0.1879,0.1899,0.18602,0.18884,32222938.8,19579,11910080.772895
2021-06-22T09:00:00.000Z,0.18885,0.19127,0.18462,0.1878,54094753.1,27730,20219447.239136
2021-06-22T09:15:00.000Z,0.18782,0.18875,0.1846,0.186,23411598.1,15117,9337611.627735
2021-06-22T09:30:00.000Z,0.186,0.18784,0.18333,0.18402,34766723.9,19176,12843179.44365
2021-06-22T09:45:00.000Z,0.18402,0.18699,0.18162,0.18689,42663259.2,19768,16318087.577153
2021-06-22T10:00:00.000Z,0.18693,0.1887,0.18296,0.18399,31575112.8,16605,12000810.484769
2021-06-22T10:15:00.000Z,0.18408,0.19001,0.17939,0.18505,70101302.8,32437,26224080.281918
2021-06-22T10:30:00.000Z,0.18511,0.197,0.185,0.19486,74698103.1,32548,25609009.612003
2021-06-22T10:45:00.000Z,0.19501,0.19507,0.1903,0.19126,32571359.7,17242,12218522.631523
2021-06-22T11:00:00.000Z,0.1914,0.19228,0.1873,0.18794,24468373.3,14867,10432735.18154
2021-06-22T11:15:00.000Z,0.18788,0.19047,0.18441,0.18467,23102854.5,13348,8445522.844229
2021-06-22T11:30:00.000Z,0.18466,0.18682,0.18331,0.18656,17930971.1,10744,6317410.340269
2021-06-22T11:45:00.000Z,0.18652,0.18895,0.18248,0.18297,25336627.4,16135,9895809.718308
2021-06-22T12:00:00.000Z,0.18297,0.18384,0.17662,0.17711,76310431.5,46036,29998309.9164
2021-06-22T12:15:00.000Z,0.17697,0.18344,0.17104,0.1729,96511245.6,50371,33423136.775597
