#Path,Method,action,kind,sub,OperationName,OperationNameAlt,Description,metadata
/apis/dashboard.grafana.app/,GET,,,,getAPIGroup,,get information of a group,null
/version/,GET,,,,getCodeVersion,,get the code version,null
/apis/iam.grafana.app/,GET,,,,getAPIGroup,,get information of a group,null
/apis/provisioning.grafana.app/v0alpha1/watch/namespaces/{namespace}/jobs/{name},GET,watch,Job,,watchNamespacedJob,,"watch changes to an object of kind Job. deprecated: use the 'watch' parameter with a list operation instead, filtered to a single item with the 'fieldSelector' parameter.","{""x-kubernetes-action"":""watch"",""x-kubernetes-group-version-kind"":{""group"":""provisioning.grafana.app"",""version"":""v0alpha1"",""kind"":""Job""}}"
/apis/provisioning.grafana.app/v0alpha1/watch/jobs,GET,watchlist,Job,,watchJobListForAllNamespaces,,watch individual changes to a list of Job. deprecated: use the 'watch' parameter with a list operation instead.,"{""x-kubernetes-action"":""watchlist"",""x-kubernetes-group-version-kind"":{""group"":""provisioning.grafana.app"",""version"":""v0alpha1"",""kind"":""Job""}}"
/apis/provisioning.grafana.app/v0alpha1/namespaces/{namespace}/repositories/{name},GET,get,Repository,,readNamespacedRepository,,read the specified Repository,"{""x-kubernetes-action"":""get"",""x-kubernetes-group-version-kind"":{""group"":""provisioning.grafana.app"",""version"":""v0alpha1"",""kind"":""Repository""}}"
/apis/provisioning.grafana.app/v0alpha1/namespaces/{namespace}/repositories/{name},PUT,put,Repository,,replaceNamespacedRepository,,replace the specified Repository,"{""x-kubernetes-action"":""put"",""x-kubernetes-group-version-kind"":{""group"":""provisioning.grafana.app"",""version"":""v0alpha1"",""kind"":""Repository""}}"
/apis/provisioning.grafana.app/v0alpha1/namespaces/{namespace}/repositories/{name},PATCH,patch,Repository,,patchNamespacedRepository,,partially update the specified Repository,"{""x-kubernetes-action"":""patch"",""x-kubernetes-group-version-kind"":{""group"":""provisioning.grafana.app"",""version"":""v0alpha1"",""kind"":""Repository""}}"
/apis/provisioning.grafana.app/v0alpha1/namespaces/{namespace}/repositories/{name},DELETE,delete,Repository,,deleteNamespacedRepository,,delete a Repository,"{""x-kubernetes-action"":""delete"",""x-kubernetes-group-version-kind"":{""group"":""provisioning.grafana.app"",""version"":""v0alpha1"",""kind"":""Repository""}}"
/apis/provisioning.grafana.app/v0alpha1/watch/namespaces/{namespace}/repositories/{name},GET,watch,Repository,,watchNamespacedRepository,,"watch changes to an object of kind Repository. deprecated: use the 'watch' parameter with a list operation instead, filtered to a single item with the 'fieldSelector' parameter.","{""x-kubernetes-action"":""watch"",""x-kubernetes-group-version-kind"":{""group"":""provisioning.grafana.app"",""version"":""v0alpha1"",""kind"":""Repository""}}"
/apis/provisioning.grafana.app/v0alpha1/namespaces/{namespace}/repositories/{name}/files,GET,connect,ResourceWrapper,files,connectGetNamespacedRepositoryFiles,getNamespacedRepositoryFiles,connect GET requests to files of Repository,"{""x-kubernetes-action"":""connect"",""x-kubernetes-group-version-kind"":{""group"":""provisioning.grafana.app"",""version"":""v0alpha1"",""kind"":""ResourceWrapper""}}"
/apis/provisioning.grafana.app/v0alpha1/namespaces/{namespace}/repositories/{name}/files,PUT,connect,ResourceWrapper,files,connectPutNamespacedRepositoryFiles,putNamespacedRepositoryFiles,connect PUT requests to files of Repository,"{""x-kubernetes-action"":""connect"",""x-kubernetes-group-version-kind"":{""group"":""provisioning.grafana.app"",""version"":""v0alpha1"",""kind"":""ResourceWrapper""}}"
/apis/provisioning.grafana.app/v0alpha1/namespaces/{namespace}/repositories/{name}/files,POST,connect,ResourceWrapper,files,connectPostNamespacedRepositoryFiles,postNamespacedRepositoryFiles,connect POST requests to files of Repository,"{""x-kubernetes-action"":""connect"",""x-kubernetes-group-version-kind"":{""group"":""provisioning.grafana.app"",""version"":""v0alpha1"",""kind"":""ResourceWrapper""}}"
/apis/provisioning.grafana.app/v0alpha1/namespaces/{namespace}/repositories/{name}/files,DELETE,connect,ResourceWrapper,files,connectDeleteNamespacedRepositoryFiles,deleteNamespacedRepositoryFiles,connect DELETE requests to files of Repository,"{""x-kubernetes-action"":""connect"",""x-kubernetes-group-version-kind"":{""group"":""provisioning.grafana.app"",""version"":""v0alpha1"",""kind"":""ResourceWrapper""}}"
/apis/provisioning.grafana.app/v0alpha1/namespaces/{namespace}/repositories/{name}/files/{path:*},GET,connect,ResourceWrapper,files/{path:*},connectGetNamespacedRepositoryFilesWithPath,getNamespacedRepositoryFilesWithPath,connect GET requests to files of Repository,"{""x-kubernetes-action"":""connect"",""x-kubernetes-group-version-kind"":{""group"":""provisioning.grafana.app"",""version"":""v0alpha1"",""kind"":""ResourceWrapper""}}"
/apis/provisioning.grafana.app/v0alpha1/namespaces/{namespace}/repositories/{name}/files/{path:*},PUT,connect,ResourceWrapper,files/{path:*},connectPutNamespacedRepositoryFilesWithPath,putNamespacedRepositoryFilesWithPath,connect PUT requests to files of Repository,"{""x-kubernetes-action"":""connect"",""x-kubernetes-group-version-kind"":{""group"":""provisioning.grafana.app"",""version"":""v0alpha1"",""kind"":""ResourceWrapper""}}"
/apis/provisioning.grafana.app/v0alpha1/namespaces/{namespace}/repositories/{name}/files/{path:*},POST,connect,ResourceWrapper,files/{path:*},connectPostNamespacedRepositoryFilesWithPath,postNamespacedRepositoryFilesWithPath,connect POST requests to files of Repository,"{""x-kubernetes-action"":""connect"",""x-kubernetes-group-version-kind"":{""group"":""provisioning.grafana.app"",""version"":""v0alpha1"",""kind"":""ResourceWrapper""}}"
/apis/provisioning.grafana.app/v0alpha1/namespaces/{namespace}/repositories/{name}/files/{path:*},DELETE,connect,ResourceWrapper,files/{path:*},connectDeleteNamespacedRepositoryFilesWithPath,deleteNamespacedRepositoryFilesWithPath,connect DELETE requests to files of Repository,"{""x-kubernetes-action"":""connect"",""x-kubernetes-group-version-kind"":{""group"":""provisioning.grafana.app"",""version"":""v0alpha1"",""kind"":""ResourceWrapper""}}"
/apis/provisioning.grafana.app/v0alpha1/namespaces/{namespace}/repositories/{name}/history/{path:*},GET,connect,HistoryList,history/{path:*},connectGetNamespacedRepositoryHistoryWithPath,getNamespacedRepositoryHistoryWithPath,connect GET requests to history of Repository,"{""x-kubernetes-action"":""connect"",""x-kubernetes-group-version-kind"":{""group"":""provisioning.grafana.app"",""version"":""v0alpha1"",""kind"":""HistoryList""}}"
/apis/provisioning.grafana.app/v0alpha1/watch/namespaces/{namespace}/jobs,GET,watchlist,Job,,watchNamespacedJobList,,watch individual changes to a list of Job. deprecated: use the 'watch' parameter with a list operation instead.,"{""x-kubernetes-action"":""watchlist"",""x-kubernetes-group-version-kind"":{""group"":""provisioning.grafana.app"",""version"":""v0alpha1"",""kind"":""Job""}}"
/apis/provisioning.grafana.app/v0alpha1/namespaces/{namespace}/repositories/{name}/status,GET,get,Repository,,readNamespacedRepositoryStatus,,read status of the specified Repository,"{""x-kubernetes-action"":""get"",""x-kubernetes-group-version-kind"":{""group"":""provisioning.grafana.app"",""version"":""v0alpha1"",""kind"":""Repository""}}"
/apis/provisioning.grafana.app/v0alpha1/namespaces/{namespace}/repositories/{name}/status,PUT,put,Repository,,replaceNamespacedRepositoryStatus,,replace status of the specified Repository,"{""x-kubernetes-action"":""put"",""x-kubernetes-group-version-kind"":{""group"":""provisioning.grafana.app"",""version"":""v0alpha1"",""kind"":""Repository""}}"
/apis/provisioning.grafana.app/v0alpha1/namespaces/{namespace}/repositories/{name}/status,PATCH,patch,Repository,,patchNamespacedRepositoryStatus,,partially update status of the specified Repository,"{""x-kubernetes-action"":""patch"",""x-kubernetes-group-version-kind"":{""group"":""provisioning.grafana.app"",""version"":""v0alpha1"",""kind"":""Repository""}}"
/apis/provisioning.grafana.app/v0alpha1/jobs,GET,list,Job,,listJobForAllNamespaces,,list or watch objects of kind Job,"{""x-kubernetes-action"":""list"",""x-kubernetes-group-version-kind"":{""group"":""provisioning.grafana.app"",""version"":""v0alpha1"",""kind"":""Job""}}"
/apis/provisioning.grafana.app/v0alpha1/namespaces/{namespace}/repositories,GET,list,Repository,,listNamespacedRepository,,list or watch objects of kind Repository,"{""x-kubernetes-action"":""list"",""x-kubernetes-group-version-kind"":{""group"":""provisioning.grafana.app"",""version"":""v0alpha1"",""kind"":""Repository""}}"
/apis/provisioning.grafana.app/v0alpha1/namespaces/{namespace}/repositories,POST,post,Repository,,createNamespacedRepository,,create a Repository,"{""x-kubernetes-action"":""post"",""x-kubernetes-group-version-kind"":{""group"":""provisioning.grafana.app"",""version"":""v0alpha1"",""kind"":""Repository""}}"
/apis/provisioning.grafana.app/v0alpha1/namespaces/{namespace}/repositories,DELETE,deletecollection,Repository,,deletecollectionNamespacedRepository,,delete collection of Repository,"{""x-kubernetes-action"":""deletecollection"",""x-kubernetes-group-version-kind"":{""group"":""provisioning.grafana.app"",""version"":""v0alpha1"",""kind"":""Repository""}}"
/apis/provisioning.grafana.app/v0alpha1/namespaces/{namespace}/repositories/{name}/test,POST,connect,TestResults,test,connectPostNamespacedRepositoryTest,postNamespacedRepositoryTest,connect POST requests to test of Repository,"{""x-kubernetes-action"":""connect"",""x-kubernetes-group-version-kind"":{""group"":""provisioning.grafana.app"",""version"":""v0alpha1"",""kind"":""TestResults""}}"
/apis/provisioning.grafana.app/v0alpha1/namespaces/{namespace}/jobs/{name},GET,get,Job,,readNamespacedJob,,read the specified Job,"{""x-kubernetes-action"":""get"",""x-kubernetes-group-version-kind"":{""group"":""provisioning.grafana.app"",""version"":""v0alpha1"",""kind"":""Job""}}"
/apis/provisioning.grafana.app/v0alpha1/repositories,GET,list,Repository,,listRepositoryForAllNamespaces,,list or watch objects of kind Repository,"{""x-kubernetes-action"":""list"",""x-kubernetes-group-version-kind"":{""group"":""provisioning.grafana.app"",""version"":""v0alpha1"",""kind"":""Repository""}}"
/apis/provisioning.grafana.app/v0alpha1/namespaces/{namespace}/repositories/{name}/history,GET,connect,HistoryList,history,connectGetNamespacedRepositoryHistory,getNamespacedRepositoryHistory,connect GET requests to history of Repository,"{""x-kubernetes-action"":""connect"",""x-kubernetes-group-version-kind"":{""group"":""provisioning.grafana.app"",""version"":""v0alpha1"",""kind"":""HistoryList""}}"
